Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,BE,INE704P01025
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
